Bus Hound 6.01 capture on Windows Vista Service Pack 1 (x86). Complements of www.perisoft.net

108

  Device - Device ID (followed by the endpoint for USB devices)
            (24) USB2.0-MIDI
  Phase  - Phase Type
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Descr  - Description of the phase
  Cmd... - Position in the captured data


Device  Phase  Data                                                Description       Cmd.Phase.Ofs(rep)
  24.2  OUT    19 91 42 5f                                         ..B_                   134.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   135.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   136.1.0        
  24.2  OUT    19 90 34 68                                         ..4h                   137.1.0        
  24.2  OUT    19 91 40 75                                         ..@u                   138.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   139.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   140.1.0        
  24.2  OUT    19 90 3b 6c                                         ..;l                   141.1.0        
  24.2  OUT    19 91 40 71                                         ..@q                   142.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   143.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   144.1.0        
  24.2  OUT    19 90 40 75                                         ..@u                   145.1.0        
  24.2  OUT    19 90 47 7f                                         ..G.                   146.1.0        
  24.2  OUT    19 91 42 68                                         ..Bh                   147.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                   148.1.0        
  24.2  OUT    19 90 40 00                                         ..@.                   149.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   150.1.0        
  24.2  OUT    19 90 3b 75                                         ..;u                   151.1.0        
  24.2  OUT    19 91 47 78                                         ..Gx                   152.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   153.1.0        
  24.2  OUT    19 90 3b 7a                                         ..;z                   154.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   155.1.0        
  24.2  OUT    19 90 40 71                                         ..@q                   156.1.0        
  24.2  OUT    19 90 47 7f                                         ..G.                   157.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                   158.1.0        
  24.2  OUT    19 90 40 00                                         ..@.                   159.1.0        
  24.2  OUT    19 91 47 00                                         ..G.                   160.1.0        
  24.2  OUT    19 90 3b 7a                                         ..;z                   161.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   162.1.0        
  24.2  OUT    19 90 34 71                                         ..4q                   163.1.0        
  24.2  OUT    19 91 40 7a                                         ..@z                   164.1.0        
  24.2  OUT    19 92 4c 7f                                         ..L.                   165.1.0        
  24.2  OUT    19 91 42 7a                                         ..Bz                   166.1.0        
  24.2  OUT    19 91 44 7f                                         ..D.                   167.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   168.1.0        
  24.2  OUT    19 90 3b 71                                         ..;q                   169.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   170.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   171.1.0        
  24.2  OUT    19 90 47 7f                                         ..G.                   172.1.0        
